COA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E00000001,51.8576,6b,51.8576,51.8576
E00000003,49.875,6b,49.875,49.875
E00000005,59.1269,6b,59.1269,59.1269
E00000007,82.9036,6b,97.4435,68.2293
E00000010,43.0317,6b,43.0317,43.0317
E00000012,41.7417,6b,41.7417,41.7417
E00000013,38.775,6b,38.775,38.775
E00000014,49.5318,6b,49.5318,49.5318
E00000016,75.6257,6b,75.6257,75.6257
E00000017,70.7731,6b,73.2597,69.1845
E00000018,72.5041,6b,78.3177,66.3503
E00000019,73.0195,6b,73.0195,73.0195
E00000020,73.669,6b,75.8678,71.4703
E00000021,94.0111,6b,117.912,72.9951
E00000022,38.9433,6b,38.9433,38.9433
E00000023,37.4057,6b,37.4479,37.3635
E00000024,77.3696,6b,100.365,50.8197
E00000025,50.925,6b,71.1865,30.7646
E00000026,66.9881,6b,84.5249,53.0783
E00000027,60.3633,6b,78.5135,53.4283
E00000028,68.4419,6b,83.0139,53.5853
E00000029,81.0384,6b,115.37,45.9168
E00000030,102.868,6b,120.847,92.0959
E00000031,108.686,6b,108.686,108.686
E00000032,73.8622,6b,73.8622,73.8622
E00000035,100.199,6b,155.14,30.9576
E00000037,38.0135,6b,40.4817,35.5453
E00000038,33.9524,6b,36.3299,30.3643
E00000039,2.29411,1a,2.38521,2.20301
E00000040,28.9328,6a,34.4642,22.3318
E00000041,37.363,6b,39.9935,34.3314
E00000042,37.9888,6b,37.9888,37.9888
E00000043,3.12369,1b,3.24066,3.00673
E00000045,12.3859,3,22.0672,2.70447
E00000046,30.5984,6b,34.7413,26.4555
E00000048,3.64459,1b,3.64459,3.64459
E00000049,32.1842,6b,33.7764,30.9486
E00000050,18.0315,4,18.0315,18.0315
E00000051,39.6374,6b,43.7088,33.7752
E00000052,28.5869,6a,31.4173,25.3484
E00000053,32.0983,6b,34.1054,30.0912
E00000054,38.4507,6b,40.8316,37.1913
E00000055,24.6474,5,30.9548,20.2131
E00000056,7.487,2,30.9406,0
E00000057,28.5792,6a,29.1898,27.9687
E00000059,9.30998,2,31.6347,0
E00000060,20.9048,5,29.4711,16.2269
E00000061,33.4227,6b,33.7801,32.7596
E00000062,31.6985,6b,42.9356,8.46497
E00000063,33.8826,6b,34.5854,33.1799
E00000064,28.6824,6a,32.0344,26.6456
E00000065,25.1315,6a,27.0521,22.659
E00000066,32.6639,6b,33.7917,31.2644
E00000067,11.1198,3,22.2855,5.2845
E00000068,33.2704,6b,33.2704,33.2704
E00000069,23.8815,5,25.1789,22.584
E00000070,4.35482,1b,5.45823,2.75637
E00000071,10.8612,3,11.6378,10.1496
E00000072,6.5071,2,7.16163,5.99888
E00000073,7.01863,2,7.69983,6.26272
E00000074,4.37334,1b,5.45129,2.71193
E00000075,7.81262,2,10.3065,5.31872
E00000076,8.67104,2,11.2311,6.07805
E00000077,12.4003,3,13.5186,11.5148
E00000078,8.12969,2,10.9984,5.0841
E00000079,8.21486,2,12.0537,4.4365
E00000080,6.41308,2,9.75719,2.07213
E00000081,13.6259,3,14.5179,12.734
E00000082,6.33284,2,10.3616,4.38519
E00000083,11.1151,3,11.1151,11.1151
E00000084,11.1615,3,11.447,10.7653
E00000085,11.4325,3,11.8477,11.0174
E00000086,12.5533,3,13.0009,12.1057
E00000087,14.7909,3,16.2866,13.0853
E00000088,13.0853,3,13.6845,12.4861
E00000089,3.59006,1b,6.95931,2.44621
E00000090,13.6436,3,14.9291,12.9222
E00000091,5.9592,2,11.4459,2.37168
E00000092,6.00184,2,11.7782,0
E00000093,17.2012,4,20.8962,12.688
E00000094,12.0903,3,12.7163,11.0414
E00000095,11.6787,3,15.1619,2.11906
E00000096,12.44,3,15.2217,11.111
E00000097,8.35863,2,14.0977,1.99958
E00000098,7.15007,2,7.20996,7.09018
E00000099,4.47672,1b,6.77038,2.18307
E00000100,1.77395,1a,5.70552,0
E00000101,7.80249,2,8.83528,7.01038
E00000102,8.4826,2,9.3316,7.02769
E00000103,12.1112,3,12.6189,11.4571
E00000104,3.41532,1b,6.07107,2.12177
E00000106,7.04628,2,8.15126,6.36333
E00000107,8.83937,2,10.3065,7.61367
E00000108,6.62705,2,7.19492,6.09636
E00000109,5.56033,2,5.79276,5.35721
E00000110,7.6478,2,8.79594,6.35272
E00000111,6.49955,2,8.66092,5.39154
E00000112,2.50263,1b,3.49407,1.91925
E00000113,6.78269,2,8.50881,5.20424
E00000114,5.84867,2,7.81431,3.9694
E00000115,3.98232,1b,4.42935,3.36843
E00000116,6.49158,2,6.84963,6.04694
E00000117,4.23597,1b,5.36453,2.87044
E00000118,4.62435,1b,5.13574,3.33831
E00000119,5.63258,2,6.01935,5.24887
E00000120,6.00949,2,6.35956,5.6463
E00000121,7.23638,2,8.41557,6.10085
E00000122,6.91291,2,6.96567,6.86015
E00000123,7.34648,2,8.09438,6.59858
E00000124,6.36352,2,7.07518,5.6604
E00000125,6.80753,2,7.79721,5.44734
E00000126,6.89034,2,8.39184,5.5154
E00000127,7.2328,2,9.25147,5.31493
E00000128,6.96189,2,7.24377,6.68001
E00000129,6.31405,2,7.31673,5.31137
E00000130,5.39446,2,7.02862,4.556
E00000131,5.56819,2,6.30529,5.02092
E00000132,5.71047,2,6.35294,4.52295
E00000133,6.24361,2,6.62847,5.85875
E00000134,5.48293,2,6.60009,4.57079
E00000135,4.44757,1b,5.32279,3.023
E00000136,4.89897,1b,5.67454,2.99504
E00000137,3.2464,1b,3.82975,1.59857
E00000138,5.57514,2,6.4623,4.98527
E00000139,4.44751,1b,4.84092,3.94473
E00000140,1.12681,1a,3.52079,0
E00000141,7.01817,2,7.31291,6.72343
E00000142,5.17347,2,6.36004,3.66018
E00000143,2.88714,1b,4.69964,0
E00000144,5.31915,2,5.82126,4.54909
E00000145,1.30609,1a,3.8649,0
E00000146,4.63492,1b,5.85914,3.4107
E00000147,3.97869,1b,4.27675,3.40348
E00000148,0.891076,1a,2.67323,0
E00000149,5.017,2,6.29093,3.03098
E00000150,0.818771,1a,2.90107,0
E00000151,3.85922,1b,8.02453,0
E00000152,6.60353,2,7.68941,5.84315
E00000153,8.53256,2,15.3437,5.10942
E00000154,11.3203,3,16.512,1.95751
E00000155,8.83386,2,13.3037,6.0154
E00000156,3.452,1b,6.1924,0
E00000157,5.28397,2,6.79676,4.31719
E00000158,4.69913,1b,6.20088,3.7488
E00000159,4.66098,1b,5.6403,3.96339
E00000160,4.24886,1b,5.5019,3.55526
E00000161,4.23944,1b,4.71175,3.88268
E00000162,1.51114,1a,1.51274,1.50955
E00000163,4.56607,1b,4.9286,4.27974
E00000164,3.69959,1b,3.91932,3.47986
E00000165,3.94971,1b,4.22117,3.69099
E00000166,0.806078,1a,1.61216,0
E00000167,9.53373,2,10.8168,8.21072
E00000168,2.75057,1b,3.78586,2.18765
E00000169,3.97778,1b,5.63521,2.29078
E00000170,3.4936,1b,4.7348,2.44561
E00000171,4.21695,1b,5.24963,3.12029
E00000172,4.63908,1b,5.76066,4.33903
E00000173,5.02116,2,11.3916,0
E00000174,7.47456,2,9.8282,2.27929
E00000175,8.05778,2,11.36,2.44153
E00000176,8.50983,2,9.69598,6.80784
E00000177,12.2434,3,13.1111,11.3757
E00000178,12.504,3,13.4739,11.7869
E00000179,10.8931,3,11.9618,10.183
E00000180,6.45816,2,13.5363,0
E00000181,1.47291,1a,2.68814,0
E00000182,9.39408,2,10.3731,8.40023
E00000183,9.56186,2,11.228,7.76791
E00000184,1.3616,1a,2.31578,0
E00000185,0.509635,1a,2.54818,0
E00000186,9.53762,2,11.3669,8.60787
E00000187,2.63322,1b,2.85575,2.45834
E00000188,7.00007,2,8.73734,2.61415
E00000189,3.93952,1b,7.05859,2.28022
E00000190,6.48126,2,9.65053,2.79789
E00000191,4.9767,1b,7.71771,3.01156
E00000192,0.899235,1a,2.25923,0
E00000193,2.94228,1b,3.44101,2.4932
E00000194,3.0312,1b,3.85047,2.40175
E00000195,3.49022,1b,7.74592,2.16185
E00000196,2.19339,1a,2.23689,2.1499
E00000197,1.9838,1a,8.57395,0
E00000198,1.39559,1a,1.39559,1.39559
E00000199,6.92157,2,7.57979,5.85647
E00000200,4.21574,1b,4.56316,3.93766
E00000201,17.6526,4,33.6359,5.9786
E00000202,4.60597,1b,5.36413,4.10555
E00000203,8.05443,2,8.57725,7.00482
E00000204,8.99993,2,9.43707,8.60522
E00000205,3.54588,1b,6.98667,0
E00000206,10.0769,3,10.4109,9.7428
E00000207,4.98735,1b,5.22987,4.74483
E00000208,7.72591,2,8.38694,7.00226
E00000209,6.09043,2,9.29557,4.33231
E00000210,7.66069,2,11.3869,0
E00000211,11.8415,3,13.0898,11.0393
E00000212,13.0077,3,14.215,11.8851
E00000213,10.4283,3,11.9027,9.41751
E00000214,7.47347,2,8.6785,6.841
E00000215,3.69296,1b,3.92252,3.41267
E00000216,11.4706,3,12.4247,10.5165
E00000217,6.12247,2,7.49132,4.38478
E00000218,10.3861,3,10.992,9.79311
E00000219,3.45147,1b,6.86313,0
E00000220,4.81187,1b,6.60367,3.02006
E00000221,3.28358,1b,6.45517,2.14675
E00000222,5.8975,2,7.83421,3.71733
E00000223,7.32221,2,8.98574,4.40473
E00000224,4.62936,1b,7.22589,2.05132
E00000225,6.24321,2,9.18884,3.81673
E00000226,8.81931,2,13.169,4.37692
E00000227,12.282,3,13.7289,9.45965
E00000228,4.79604,1b,6.81169,3.4474
E00000229,4.07853,1b,6.09711,2.85249
E00000230,6.67405,2,10.1464,2.87092
E00000231,3.29477,1b,3.69122,2.88809
E00000232,5.73768,2,10.4015,2.10739
E00000234,8.05333,2,9.27008,5.37745
E00000235,11.1329,3,11.1329,11.1329
E00000236,10.3694,3,10.804,10.153
E00000237,4.86344,1b,6.19406,1.94151
E00000238,6.9221,2,10.0054,3.83885
E00000239,6.00032,2,6.00032,6.00032
E00000240,5.64368,2,5.64368,5.64368
E00000241,8.22079,2,9.20544,7.23614
E00000242,6.23446,2,6.23446,6.23446
E00000243,5.46244,2,6.53326,4.10629
E00000244,8.72108,2,10.9798,7.51598
E00000245,6.65183,2,9.22239,4.08126
E00000246,29.2083,6a,33.0505,26.0888
E00000247,28.8385,6a,31.4338,25.6982
E00000248,34.2898,6b,34.2898,34.2898
E00000249,27.8814,6a,30.6099,25.153
E00000250,8.17154,2,8.17154,8.17154
E00000251,10.104,3,10.104,10.104
E00000252,11.5224,3,11.9748,11.1349
E00000253,12.764,3,30.6176,5.54543
E00000254,9.02693,2,9.02693,9.02693
E00000255,8.75919,2,8.76741,8.75098
E00000256,8.472,2,8.472,8.472
E00000257,9.93716,2,10.3437,9.53065
E00000258,9.79899,2,9.93241,9.66556
E00000259,8.12502,2,9.89076,6.35928
E00000260,10.0246,3,11.1439,8.90522
E00000261,8.39577,2,11.3966,5.81924
E00000263,7.6605,2,9.62033,2.9432
E00000264,6.55631,2,6.85812,6.2545
E00000265,4.55093,1b,4.94945,4.09706
E00000266,8.44931,2,10.907,4.74245
E00000267,6.96082,2,8.43091,4.26669
E00000268,5.22175,2,5.47093,4.97257
E00000269,0,0,0,0
E00000270,2.86268,1b,4.3273,0
E00000271,6.77202,2,6.77202,6.77202
E00000272,3.15914,1b,6.78541,0
E00000273,5.42894,2,6.57732,4.28055
E00000274,4.13771,1b,8.27542,0
